file_name,header,best_attributes,best_fitness,Distinction,Separation,k-Anonymity,Delta Distinction,Delta Separation,Attribute Length Penalty
adult.data,"['age', ' workclass', ' fnlwgt', ' education', ' education-num', ' marital-status', ' occupation', ' relationship', ' race', ' sex', ' capital-gain', ' capital-loss', ' hours-per-week', ' native-country', ' income']","[' workclass', ' fnlwgt', ' education-num', ' marital-status', ' relationship', ' capital-gain', ' hours-per-week', ' income']",1.8155770093584238,0.992844200116704,0.9999995453628634,1.0072073744122743,0.0,0.0,0.5022222222222222
car.data,"['buying', 'maint', 'doors', 'persons', 'lug_boot', 'safety', 'eval']","['buying', 'maint', 'doors', 'persons', 'lug_boot', 'safety']",1.1508108108108108,1.0,1.0,1.0,0.0,0.0,0.7551020408163265
diabetes.data,"['date', 'time', 'code', 'value']","['date', 'value']",1.5190361926226976,0.8532779316712835,0.9999625164363636,1.171951087544638,0.0,0.0,0.5
heart+disease.data,"['age', 'sex', 'cp', 'trestbps', 'chol', 'fbs', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'num']","['age', 'cp', 'restecg', 'thalach', 'exang', 'oldpeak', 'slope', 'ca', 'thal', 'num']",1.4985796312153443,0.9863945578231292,0.99990713008753,1.013793103448276,0.0,0.0,0.5918367346938775
mushroom.data,"['cap-shape', ' cap-surface', ' cap-color', ' bruises?', ' odor', ' gill-attachment', ' gill-spacing', ' gill-size', ' gill-color', ' stalk-shape', ' stalk-root', ' stalk-surface-above-ring', ' stalk-surface-below-ring', ' stalk-color-above-ring', ' stalk-color-below-ring', ' veil-type', ' veil-color', ' ring-number', ' ring-type', ' spore-print-color', ' population', ' habitat']","['cap-shape', ' cap-surface', ' cap-color', ' gill-color', ' stalk-shape', ' stalk-surface-above-ring', ' stalk-surface-below-ring', ' stalk-color-above-ring', ' stalk-color-below-ring', ' veil-type', ' ring-number', ' spore-print-color', ' population', ' habitat']",1.2506557791749902,0.7816346627277203,0.9999284147541253,1.2793700787401574,0.0,0.0,0.5371900826446281
nursery.data,"['parents', ' has_nurs', ' form', ' children', ' housing', ' finance', ' social', ' health']","['parents', ' has_nurs', ' form', ' children', ' housing', ' finance', ' health']",-0.003489661885407827,0.3108796296296296,0.9997839815791303,3.2166790766939686,0.0,0.0,0.78125
